10
3 3
9 9 4
6 6 8
2 1 1
5 5
3 5 6 3 6
2 3 1 7 4
3 2 1 3 5
6 2 3 1 2
8 3 1 2 6
2 2
1 2
3 4
4 4
1 2 3 4
2 2 3 4
3 2 3 4
4 5 6 7
1 1
99999
2 2
1 1
1 1
2 4
1 2 3 4
1 2 3 4
1 8
1 2 3 4 5 6 7 8
10 10
1 2 3 4 5 6 7 8 9 10
2 2 3 4 5 6 7 8 9 10
3 2 3 4 5 6 7 8 9 10
4 2 3 4 5 6 7 8 9 170
5 6 7 8 9 6 7 8 150 160
1 2 3 4 50 6 7 8 140 130
1 2 3 4 55 60 7 8 9 120
1 2 3 4 5 66 70 8 9 108
1 2 3 4 5 6 76 80 98 104
1 2 3 4 5 6 7 8 90 101
30 10
1 2 3 4 5 6 7 8 9 10
2 2 3 4 5 6 7 8 9 10
3 2 3 4 5 6 7 8 9 10
4 2 3 4 5 6 7 8 9 170
5 6 7 8 9 6 7 8 150 160
1 2 3 4 50 6 7 8 140 130
1 2 3 4 55 60 7 8 9 120
1 2 3 4 5 66 70 8 9 108
1 2 3 4 5 6 76 80 98 104
1 2 3 4 5 6 7 8 90 101
1 2 3 4 5 6 7 8 9 10
2 2 3 4 5 6 7 8 9 10
3 2 3 4 5 6 7 8 9 10
4 2 3 4 5 6 7777777 80000 977676 170000
5 6 7 8 9 6 70000 17000 15000 16000
1 2 3 4 50 6 7 8 14000 130
1 2 3 4 55 60 7 8876565 9000 120
1 2 3 4 5 66 70 85444 999 108
1 2 3 4 5 6 76 8990 980 104
1 2 3 4 5 650 700 800 90 101
1 2 3 887777 9876 600 350 300 209 200
2 2 3 4 5 6 7 8 9 184
3 2 3 4 5 6 7 8 9 180
4 2 3 4 5 6 7 8 9 170
5 6 7 8 9 6 7 8 150 160
1 2 3 4 50 6 7 8 140 130
1 2 3 4 55 60 7 8 9 120
1 2 3 4 5 66 70 8 9 108
1 2 3 4 5 6 76 80 98 104
1 2 3 4 5 6 7 8 90 101
